id,title,content,tags
26,Cheap web buy robotic pieces,"I love computer programming, I interact world programming, it's even better. I used steal school, make little robots bounce collided wall, I want go further, I don't needed pieces, I don't know good place buy pieces , like servos, etc. either. Also, I'm Spanish, page sell places Spain, even better. I would highly appreciate help, Aritzh",servos
37,Mobile robot localization known map,"I want localize mobile robot equipped 2D laser scanner known indoor environment. The map 2D occupancy grid, perfect. What algorithms appropriate mobile robot localization?",localization mobile-robot
39,I'd like use gesture based input robot. What pros cons Xtion Live Kinect?,"As title, I'd like implement gesture recognition robot I'm looking pros cons Kinect Xtion - also sensible options available. I'm thinking following, open suggestions: Accuracy Price Driver quality Power draw",kinect input
42,What tyre tread would best suited road robot expected deal frequently muddy conditions?,"I'm looking potentially build autonomous robot frequently venture road, remain autonomous 6 hours time. I've found limited information however best tyre tread purpose, could suitable? I'm especially looking tread pattern won't need regular cleaning, save setting automatically (a tread gets ""clogged"" quickly clearly won't effective tackling tough terrain autonomously.)",wheel
43,What algorithm I use balancing two wheeled robot using gyroscope?,"Is good, popular reliable algorithm I use taking input gyroscope using control two independant wheels keep balanced robot reliably upright? I'm looking algorithm let use drive robot around well keep upright stationary. The ability deal inclines people nudging would also bonus, essential.",control gyroscope balance two-wheeled
44,Choosing right dimensions underwater glider,"I'm looking potentially build underwater glider, type submarine that's slow operate extremely low power draw. However, order work effectively I've found several sources hinting dimensions components, especially wings, critical success. However, I've found sparse information dimensions be! I'm happy bit trial error comes it, save work anyone information critical dimensions be?",design underwater auv
46,What's effective type rechargeable battery taking account size / weight / Ah?,"I'm looking build underwater glider robot need remain autonomous long periods time, perhaps even months. Power draw minimal, I'm thinking including form charging device (such solar charger) however I'd also like battery capacity large enough I don't hugely need worry this. Large current draw isn't really needed, battery need hold charge effectively long periods time. Considering underwater vehicle, weight size also concern. Cost isn't much issue, long it's within reason hobbyist project. I looking understand pros cons technology (Lead acid, LiPo, NiCad, fuel cell?), I decide type battery would best suited purpose. As such, I'm looking battery technology rather looking specific shopping recommendation.",underwater battery auv
48,How I best protect sensitive components damage vibration?,"It's common components types robots experience large environmental stresses, one key one vibration. Is something I need worry typical electronics sensitive components, really? If is, I secure components? I've heard two main philosophies behind this, first use damping system springs absorb shock. The second keep everything rigidly place can't move, therefore can't hit anything else break. Which one I follow, answer ""it depends"" I use guide best protect sensitive components?",electronics protection
49,What's accurate way obtain locational fix using GPS?,"Obviously GPS obvious accessible technology obtaining locational ""fix"" robot particular time. However, it's great sometimes, locations situations it's accurate I'd like, I'm investigating whether there's relatively easy way improve accuracy (or not, turns case.) I've considered following options, found limited information online: Would using much better antenna help, especially low signal areas? I'm thinking yes this, would I construct antenna know it's improvement? Are good guides this? I could use ready made antenna they're expensive. Would using multiple separate receivers tandem help, would likely similar amount, would I able extract meaningful average approach? What sort characteristics I look choosing good GPS receiver help accuracy? Is anything else I consider I've missed?",localization gps
53,What algorithm I use constructing map explored area using number ultrasound sensors?,"Ultrasound sensors incredibly cheap days makes popular choice many hobbyist robotic applications, I'd like use bunch (say 10) around robot algorithm build rough map area (as robot explores it.) I'm interested dealing moving objects stage, pinpointing stationary ones, I'll using GPS location. I realise components laser scanner would produce much accurate results, however devices also astronomically expensive. Does algorithm exist purpose?",slam localization gps mapping acoustic-rangefinder
55,Adding external heat sinking Dynamixel RX-24F servo?,"Hobby servos generally sufficient real robotics number reasons: Quality, precision, range motion, torque, etc. Meanwhile, industrial servos, ABB, Emerson, GE, etc, generally heavy expensive, suitable small-humanoid scale actuation. Similarly, building servo motors, gearboxes, encoders, akin trying design CPU control motor -- much detail getting way real work. There exists in-between level servos -- reasonably priced, reasonable performance, reasonably controllable -- form competing brands Dynamixel HerculeX servos. The smallest offerings lines generally strong enough real-world interaction, next step hold lot promise. For Robotis Dynamixel line, RX-24F servo (priced cheap AX-12F next step MX-28R.) Asking around, seems specs interface servo great, shuts thermal overload actually try run rated load -- something I'd expect hobby servo, robotics servo. Now, stepping MX-28R doubles price. Thus, RX-24F heat flaw could fixed, would positioned nice price/performance point. Does anyone experience providing additional cooling servo? Anything thermal-gluing heat sinks case, drilling holes running cooling fluid tubing hot parts interior would reasonable approaches. However, I spend significant time effort investigating this, I'd like second opinion -- possible, anyone experience this, worth it?",servos heat-management cooling
57,How I detect DC motor robot starting fail?,"What characteristics I look could reliable early warning signs DC motor robot, say one used drive, could failing? I'm looking answer deals terms sensors rather manual inspection, circuit could constructed warn potential failure happens. I ideas increase current draw decrease rotation speed / voltage, I want guard false warnings caused reasonable wear tear, robot struggling tough terrain. Obviously system never foolproof, points I look for?",sensors failure motor
60,Is possible move stabilize two wheeled robot gyroscopes?,"With two wheeled robot like one, I managed stabilize keeping stationary. This done using digital feedback control system reading position wheels determine position, natural back electromotive force wheel motors used feedback loop determine velocity. It kept stable PID controller, designed using root locus algorithm keep stable modulate performance parameters (such percent overshoot, settling time, etc.). I wanted attempt keep stable simultaneously propelling forward, I couldn't figure go designing linear controller could that. Is possible propel robot forward keep stable using feedback controller wheels, gyroscope necessary?",two-wheeled stability
65,Calculating efficiency Mecanum wheels,"I'm part FIRST Robotics team, we're looking using Mecanum wheels robot. What advantages disadvantages using Mecanum wheel versus regular ones? From looking Google, looks like Mecanum wheels give mobility don't much traction. Are advantages disadvantages? Compared regular wheels, Mecanum wheels less efficient efficient way? And so, quantifiable way determine much? Are equations I use calculate efficiency (or inefficiency) and/or speed moving forwards, sideways, arbitrary angles? A picture robot mecanum wheels:",mobile-robot design movement wheel first-robotics
75,Using Arduino control ON / OFF connection two pins,"I've got driver: ... A4988 stepper motor driver carrier I'm attempting control connection RESET SLEEP pins logic ( code ) running Arduino. The motor runs perfectly two pins connected however I'd like control stepper powered Arduino ( thus generating extra heat ) I'd like to: designate pin control connection two pins use ""digitalWrite"" pin HIGH LOW switch power stepper NOTE: The data sheet mentioned driver powering stepper RESET SLEEP needed switched ( HIGH )",arduino logic-control stepper-motor stepper-driver
85,Shape Memory Alloy wire robot gripper arm actuation: How vary grip pressure?,"For robotic gripper arm designing factory floor use small components, propose use electrically activated Shape Memory Alloy (SMA) wire harnesses actuation. The device designed akin Pick & Place machines used circuit assembly, moves aircraft-hanger sized work surface wheels. It manipulates irregular shaped porous objects 0.5 cu.cm 8 cu.cm - hence traditional vacuum P&P mechanism appeal. Also, individual objects assembly line varying hardness weights. Our design constraints are: Ensuring minimal zero vibration sound Using minimal volume within mechanism (batteries wheelbase, providing stability, weight concern) Fine variation gripper pressure We believe SMA meets first two constraints well, need guidance achieving constraint 3, i.e. different levels pressure gripper controlled electronically. My questions: Can PWM current activation threshold (320 mA 0.005 inch Flexinol HT) provide variable, repeatable actuation force? Would need pressure sensors fingertip closed loop control grip, gripper calibrated periodically maintain repeatable force? Is well-documented precedent study referring to?",mobile-robot
88,Mechanical design motorized spherical caster wheels,"Design goal mobile robot operates 3 large casters, essentially 2 4 inch diameter steel ball bearings, motorized. No mechanism would touch surface. The robot thus able move XY direction flat surface, steering achieved varying speed rolling direction wheels. The robot designated ""front"" side, need (and to) bodily turn, order move given direction. Conventional wheels tracks preferred approach. Looking suggested mechanical layouts multiple rubber wheels, pressing onto steel ball within castor housing, drive ball direction. A single wheel stepper, rotated around vertical axis using sail-winch servo, one approach consideration. Would ideal, serious flaws approach? Alternatively, suggested method driving steel ball arbitrary direction electronic control?",servos mobile-robot stepper-motor
91,What determines amount noise actuator produces?,"Many robots mechanical devices produce signature whirring noise move, produce less. What makes difference? What restrictions silence requirement places robot?",motor actuator noise
93,What BLDC servo drive takes sinusoidal hall sensor signals?,"I looking servo drive control brushless DC motor, least 10A, 30V rating. However, I want know exist take sinusoidal hall sensor signals directly. I already know servo drives taking hall sensor pulses (with 6 different phases), trapezoidal control. Note: servo drive includes driving electronics (no additional transistors required).",brushless-motor hall-sensor
94,"Developing 8-bit AVR-s, current, open free libraries there?","I would interested ask list repos free open code, applicable 8-bit avr-s relation robotics - object avoidance, process controllers, battery management, etc. This would huge help me, preventing wasting weeks months invent wheel.",software microcontroller
99,How manage interrupts AVR?,"I number interrupt service routines AVR. These include interrupts USART serial communication, timers, SPI communication. For these, I use circular queues (using start end pointer, without boundary checking). Some problems start occur AVR starts get overloaded. The circular queues lose chunks data. To solve this, I reduce load AVR (for example, skipping cycles timer). However, manual process, reduced AVR appears problems. This partly I want relatively consistent timer periods. However, even 70% average processor load, queues fill randomly chance. In case spurious overloading times, I make adaptive avoid queue overflows?",microcontroller avr interrupts
100,What connectors reliable?,"If used connectors signal wiring length time, may find unreliable. Specifically, I find unreliable used long time, number disconnections re-connections: This due loss springy-ness crimped metal end wire, causes contact problems. Which connectors (with rapid connection time) reliable multiple re-connections simple signal wiring? This excludes screw terminals connectors screws (eg. D-subminiature connectors), simple plug-in connectors.",wiring
106,What suitable model two-wheeled robots?,"What suitable model two-wheeled robots? That is, equations motion describe dynamics two-wheeled robot. Model varying fidelity welcome. This includes non-linear models, well linearized models.",mobile-robot two-wheeled
112,How emergency stops wired?,"Emergency stops obviously good idea robots, wired? What systems killed immediately, stay working?",mobile-robot errors
113,How model noise range sensor's return?,"Range sensors (for example sonar, infrared, lidar) notoriously noisy. How I characterize noise characteristics include probabilistic localization sensor model?",sensors noise
117,What difference 4-point 8-point connectivity graph based planning?,"In graph-based planning (say, A*), states connected neighbors. How one decide whether connect 4 neighbors 8 neighbors? What pros cons approach?",motion-planning artificial-intelligence planning
118,Properly flashing firmware Lego Mindstorms NXT,"I attempting upload custom firmware Lego Mindstorms NXT issues. First all, I'm attempting use nxtOSEK, would let run C++ programs it. The problem is, everytime I put firmware update mode, download doesn't seem actually occur. What I mean that, according output terminal (both Mac Windows), download successful, however NXT reboots, I still see normal logo (not nxtOSEK). So, I'm first holding button seconds, hitting orange button, giving tic-tic-tic sound. Then I run firmware update (either using Windows NextTool Mac OSX GUI NextTool) attempt download. I get success message, yet robot still using old firmware. What could cause problem I solve it?",mindstorms nxt
119,Is better weight distributed wheels center robot?,"When designing standard 4 6 wheel robot, better weight distributed primarily center robot, wheels, difference? Specifically, weight distribution make robot less likely tip over?",mobile-robot design stability wheeled-robot
128,How mature real-time programming robotics?,"Edit: I don't know why, question seems confusing many people. I aware when/where/why/how use real-time. I interested knowing whether people real-time task would actually care enough implement real-time not. There's need mention real-time operations important robot. My question however, much actually used robotics? Take question example. Only one answer mentions platform real-time capabilities, far top too. ROS apparently, popular platform real-time. In real-time world however, RTAI1 seems workable free real-time platform use. It however, limited Linux (no problem), badly documented slowly developed. So, much real-time behavior sought among robotics developers? The question is, much developers inclined write real-time applications real-time behavior actually needed? If much, why? For example, reflexive behavior based tactile data, cannot go ROS would lose real-time property. But people really come real-time solution use ROS anyway, ignoring real-time property? 1 similarly Xenomai",software platform real-time
131,Connecting two microcontrollers using I2C,I Have ATmega16 mc master i2c ATMega8 mc slave i2c. I connected two mcs' sda scl ports alongside pullup resistor. Now I want read register ATMega8 using ATMega16. The problem I don't want assign variables manually. Is libs headers thing me?,software microcontroller i2c
138,Mathematical prerequisites beginning graduate student robotics,A beginning graduate student robotics asked areas mathematics brush (prerequisites) begin masters research program robotics. What good materials/books indispensable research student? Which ones suggest order student develops solid foundation robotics?,research
142,Technology behind Kiva Systems mobile robots,What kind sensors algorithms mobile robots Kiva Systems equipped with?,mobile-robot industrial-robot
143,How I calculate required loop frequency servo controller?,"I motor drives string connected load cell. I would like implement closed loop controller control load applied motor string. How I go determining required loop frequency order create stable control system? Is something like Nyquist frequency, loop speed least twice highest frequency inherent mechanical system?",control motor force
146,What rail material best used linear bearings?,"For 3d printer RepRap Prusa several rails (smooth rods) guide printer head different axises. The printer head uses several linear bearings glide along rails. There isn't specification kind material would best suited purpose linear bearings. My first assumption would stainless steel won't corrode (rust) surface, I'm sure true printers (whether 3D printers not) different material may allow linear bearings glide easily. Aluminum would second choice I reservations grade would least resistant. This resource limited information help would best suited particular application. What material best suited purpose?",reprap 3d-printing linear-bearing
148,Detect Nao robot Kinect,"I sure tried I trying use Kinect detect gestures made Nao robot. I made Kinect application, gesture based picture viewer detects humans fine(Obviously does!) What I wanted try (lazy I am), see I could use (say, voice) command tell Nao Swipe Right gesture application identify gesture. The Nao easily identify command gesture. The problem however is, I put Nao front Kinect sensor, Kinect track it. What I want know is, basics behind Kinect's human body motion tracking essentially fails robot placed front instead human? PS: I kept Nao right distance sensor. I also checked entire robot field view sensor. EDIT: This posted stackoverflow msdn target large audience problem encountered anyone past.",kinect
150,Preventing leaks motor shafts underwater bots,"Whenever building aquatic bot, always take care prevent leakages, obvious reasons. Now, holes wires made watertight easily--but motors? We easily seal casing place (and fill holes casing), part axle meets casing still left unprotected. Water leaking motor still quite bad. I doubt there's way seal area properly, since solid seal let axle move, liquid seal (or something like grease) rub eventually. I thinking putting second casing around motor, maybe custom rubber orifice shaft. Something like (forgive bad drawing, used GIMP): This would probably stop leakage, would reduce torque/rpm significantly via friction. So, one prevent water leaking motor without significantly affecting motor's performance? (To clarify, I don't want buy special underwater motor, I'd prefer way make motors watertight)",motor underwater auv protection
154,Fixed point arithmetic microcontrollers,"Often use microcontrollers things robots, need make calculations decimal. Using floating point variables slow, software floating point library automatically included (unless high-end microcontroller). Therefore, generally use fixed point arithmetic. Whenever I this, I use integer, remember decimal place is. However, take care ensure everything consistent, especially calculations involve variables decimal point different place. I implemented fixed point atan2 function, I trying squeeze every last drop limited precision (16 bits), I would often change definition decimal point is, would change I tweaked it. In addition, I would constants, quasi look-up table, implied decimal point somewhere. I want know better way. Is library, set macros, simplify use fixed point variables, making multiplication division mixed variables easier, allowing declaration decimal numbers constant expressions, automatically converting desired fixed point representation compile time?",microcontroller c
155,How choose good IMU wheeled robot?,"At lab, several ""Kurt"" type robots (about size Pioneer, six wheels, differential drive). The built-in gyroscopes really outdated; main problem gyroscopes large drift increases gyro heats (the error 3°/s). We mainly use IMU get initial pose estimates later corrected localization algorithm, even large initial pose error caused IMU often annoying. We've temporarily used Android phone (Galaxy S2) replacement IMU, results much better compared old IMUs. However, I don't like depending WiFi connection IMU control computer (a laptop running ROS/Ubuntu), we're looking buy new IMU. What IMU choose? What criteria important consider application? Please share experiences! :-)",ros imu odometry gyroscope ugv
167,What good strategies tuning PID loops?,"Tuning controller gains difficult, general strategies work well get stable system converges right solution?",control pid tuning
172,Absolute positioning without GPS,"Using IMU robot estimate current position relative starting position, incurs error time. GPS especially useful providing position information biased local error accumulation. But GPS cannot used indoors, even outdoors spotty. So methods sensors robot use localize (relative frame reference) without using GPS?",localization gps sensors slam
178,HMMs vs. CRFs model time-series force data robots interacting environment?,"I time-series force data robots interacting environment objects various textures. I would like develop models various textures using time-series data classify textures smooth, rough, moderate, etc. categories. For purpose, Hidden Markov Models sufficient use Conditional Random Fields? If I decide classify categories distinction categories subtle, case would good choice? Will force-data sufficient capture information I need classify textures categories? Thanks replies :)",artificial-intelligence
182,Suitable control algorithm Air Muscle based joint?,"I joint actuated antagonistic pair Pneumatic Muscles. There two valves per muscle, one fill one empty muscle. The joint angle sensor, muscle also contain air pressure sensor. What suitable control algorithm set up? A PID controller controlling valve orifice sizes? A PID controller controlling mass flow rate? A PID controller controlling pressure using two PID pressure controllers? A Fuzzy Logic controller? A Neural Network?",control pid air-muscle
184,Robotics Trends,"Robotics always one engineering fields promised much, taking long time deliver things people imagine. When someone asks: ""How long [X] type robots?"" Are resources call upon try calculate rough answer. These resources might include: Rate progress computational power, estimate much needed various types AI. Rate progress electrical energy storage density, estimate much needed various types robot. Rate progress actuation systems, estimate would needed various types robot. Lists milestones towards various types robot, ones achieved when. Are types studies performed, results published? Added: In response Jakob's comment, I looking opinions discussions subject. What I looking published studies might shed light question.",research
205,"Creating fast, uniform, linear actuator","Most linear actuators I've seen nonuniform and/or slow. Those using cam crankshaft-like mechanism (and nearly anything hydraulic/pneumatic) cannot moved constant speed without programming. Those using screw-like mechanism uniform, slow. Aside rack pinion/rope wound around stick, fast, uniform linear actuators exist? By uniform, I mean speed uniform (Or distance moved linearly dependant angle rotated motor)",actuator
209,How determine quality ICP matches?,"In SLAM frontends use Iterative Closest Point (ICP) algorithm identifying association two matching point clouds, determine algorithm stuck local minimum returns wrong result? The problem defined matching two pointclouds samples arbitrary surface structure, sampled areas overlap 0-100% unknown. I know Trimmed ICP variant works iteratively trying determine overlap, even one stuck local minimum. A naive approach would look mean square error identified point pairs. But without estimate sampling seems risky thresholding. In manual Leica Cyclone suggest manual inspection pair error histogram. If Gaussian shape fit good. If linear fall-off match probably bad. This seems plausible me, I've never seen used algorithm.",slam
210,How I automatically adjust PID parameters fly?,"I simple servo system uses PID controller implemented MCU perform feedback. However, properties system change dynamically, PID parameters never tuned circumstances. My robot light weight arm back-drivable electric motors, similar one: The arm performs several tasks, including picking heavy weights, pushing pulling objects across desk. Each tasks requires different PID tuning parameters I cannot easily predict. What I would really like higher level function carefully adjust parameters response arm's behaviour. For example, notices arm oscillating, might reduce P increase D. Or noticed arm wasn't reaching target, might increase I. Do algorithms exist? I would happy even algorithm didn't perfect parameters immediately. E.G. arm could oscillate times parameters adjusted new values.",control pid automatic tuning
213,How I integrate smart phone robotics project?,"Smart phones days typically come gyroscope, accelerometer, compass, camera, GPS sensor board. They also usually connection internet Wifi mobile data networks. I've seen many cases using phone remote control robot, me, seems like phone perfect lightweight computing sensing platform autonomous robot. The main obstacle I see interfacing actuators. Being able control motors steer even table-top robot, control servos, example. Connecting communicating microcontroller could obstacle well. As robot hobbyist, I'd like know I overcome obstacles able harness power smart phone robotics projects.",actuator
215,Starting advice making robots tinkering microcontrollers,"I'd like start making robots tinkering microcontrollers. Where I start, I need? I'd like make robots. I'm comfortable programming (assembly C) I've got part covered, electronics/circuits knowledge little weak. I idea material start tools I need, put stuff together. For microcontroller, I'm thinking going Pololu Orangutan LV-168 Arduino Duemilanove, although I'm leaning towards Orangutan built-in LCD pushbuttons (which I would expect use, especially debugging user interaction). Am I right track? It seems like number I/O ports small, case practice?",arduino microcontroller beginner
222,Floor Segmentation Determine Navigable Paths,"In application, robot following physical setup: Differential drive mechanics feedback (wheel encoders) Commercially available webcam mounted known transform base robot (RGB, depth) The robot navigating structured, indoor type environment (think office, home, university), I would like able determine navigable paths environment using vision sensor. What best way approach problem finding safe paths travel given single vision sensor? Edit: I think I interested vision processing techniques actual path-planning mechanics.",computer-vision
229,Red [ERROR] output python ROS,"In ROS, I cannot get [ERROR] logs print red I use python. How I make appear red instead black? For example, following Python: produces output black: [ERROR] [WallTime: 135601422.876123] No analog input received. whereas following C++: ROS_ERROR(""No analog input received.""); produces following output red. [ERROR] [135601551.192412]: No analog input received.",ros python
230,Can ROS run Raspberry Pi?,"Can ROS run Raspberry Pi? ROS resigned run network machines, different machines, even different cores machine different jobs. Can one machines Raspberry Pi? I considering using R-Pi EtherCAT master mobile robot, communicating main PC WiFi, using dongle. Can R-Pi even run ROS all? Would R-Pi enough processing power 1kHz servoing? Would possible run servoing host WiFi connecion?",ros raspberry-pi wifi
231,What frequency quadcopter output-sense-calculate-output update loop need stay stable?,"With 600 mm (2 foot) motor-to-motor quadcopter, frequency output-sense-calculate-output update loop need stay stable? I'm estimating total takeoff weight roughly 2 pounds ( 0.9 kg ), I expect mostly motors batteries.",stability quadcopter
235,Is better batteries distributed rotors center multicopter?,"I've seen 3 approaches mounting batteries multicopter: All batteries rigidly mounted near center airframe All batteries bag hanging center airframe Each rotor share batteries rigidly mounted near/under it. (For example, quadcopter 1/4 batteries mounted underneath motor). Which design best, why? If one best design, advantages/tradeoffs designs? Is design I'm overlooking better way? (This question focuses multirotor flying machines. For ground vehicles, see "" Is better weight distributed wheels center robot? "").",design stability quadcopter
237,How calculate serial speed buffer requirements PC microcontroller communications?,"A common scenario PC sends commands microcontroller via RS232. My PC program sending commands (each composed multiple bytes) fast small robot. The microcontroller robot Parallax Propellor. I noticed I don't process bytes quickly enough microcontroller side things, quickly overflow default buffers popular serial port drivers available Propellor. (The buffers generally anywhere 16 256 bytes). I arbitrarily increase buffers create larger circular buffer, I would like methodical approach determining appropriate size requirements and/or minimal amount time I wait pulling bytes serial port driver buffer. At 1st glance: 115200 == 115.2 bits per millisecond == ~12.8 bytes per millisecond (assuming 1 stop bit) 1) Is valid way calculate timing serial transmissions? Also, given specific setup: PC Program <--> Bluetooth Serial Profile Driver <--> Bluetooth Transceiver <-*-> BlueSMIRF Wireless Modem <--> Parallax Propellor Program 2) What maximum amount data I send given period time consistently without eventually running problems? Maybe I'm complicating things, seems like potentially multiple buffers involved transmission chain above. How others commonly deal this? Do throttle PC sending known safe rate? Implement flow control? If implementing flow control, affect bandwidth response times? (If matters, experiment use joystick PC control multiple servos instant reaction joystick movements. So every small movement joystick results multiple commands sent microcontroller. The commands simple positional commands though, also involve acceleration/deacceleration servos time reason microcontroller spends significant amount clock cycles processing new bytes.)",microcontroller serial rs232
249,How six-axis force/torque sensor work?,"I would really like six-axis force/torque sensor robot, I can't afford one. I thinking making one own. I experience using strain gauges, I can't work arrange create six-axis force/torque sensor. Is something I could feasibly make myself? How work? What theory behind them? I'm curious know work, even it's feasible make one myself. Added: Just clear, I'm talking force / torque sensors, like ATI Nano 17: I talking accelerometers gyros, MEMS IMUs.",sensors force-sensor
254,Should I switch servo system brushed brushless motors?,"I robot uses brushed motors servo system. These Maxon 3W motors, 131:1 planetary gearboxes. The motors controlled PIC microcontroller, running 1kHz PID controller. The servos low speed high torque application. There significant backlash sensor motor. Maxon offer 12W brushless motors size. These better many ways: double torque, better heat dissipation, higher efficiency. The problem, obviously, require complex drive electronics. Also, I heard couple people mention brushed motors better servo applications, though never explained why. Has anyone else implemented kind system? Are gotchas using brushed motors servos? Is possible servo low speeds I 3 integral digital Hall sensors, encoder? (I would prefer add encoder money space cost) It torque ripple likely problem?",brushless-motor servomotor
255,What UAV kit(s) would suitable beginner roboticist programming experience?,"I'm really new robotics, however I programmer familiar several different languages. I don't ton money spend I wondering really good starter kit. My criteria kit inexpensive powerful, functionality extensible -- something would allow builder creative possibly invent new ways use it, glorified model kit. Being extendable smartphones plus. I'm looking something easy introductory, something powerful, flexible, cost effective.",uav kit
256,Quadcopter Localization Beacon,"I want use RF beacon localize quadcopter autolanding, GPS precise enough, example, driveway 10 feet wide, GPS showing 20-30 ft. accuracy (with proverbial lake lava either side). The quadcopter would use GPS fly rough location strong enough signal beacon, would begin use signal come landing precise location, referenced said beacon. Can someone please explain concepts theories behind building beacon it's accompanying receiver (suitable connection Arduino via digital analog method) achieving, say, 4"" better horizontal vertical accuracy within 50' sphere? Minimally, quad range altitude, i.e. ""I 10 feet away beacon 2 feet it"". How much added complexity would take make robot fully position aware beacon, i.e. ""x ft. South, ft. West z ft. it"", coordinate system determined beacon linked sort geographic coordinate system? If beacon mounted a, say, 10 ft pole, changes made versus ground presuming activity takes place it's x-y plane? Last note- This thing would prefferably operate 72MHz band, please presume I'm operating, devices operating band.",localization quadcopter gps
261,What commutation waveforms look like brushless motor?,"I seen waveforms driving brushless motor. I guess waveform used simpler block commutation. But I want sinusoidal waveforms, PWM signal look like now? Is need carefully synchronise edges three phases?",brushless-motor pwm
262,Effectiveness Mobile Robot In Relation To Mass,"Do mobile and/or autonomous robots become less effective bigger get? For example, bigger robot bigger batteries, thus bigger motors, whereas smaller robot exact opposite, making need less energy, also smaller motors. Is known theorem models this?",mobile-robot design dynamics
267,Why capacitors added motors (in parallel); purpose?,"I've seen many motors capacitors attached parallel bots. Apparently, ""safety"" motor. As I understand it, smoothen fluctuations--and I doubt fluctuations adverse effects motor. Apparently protect motor shaft slowed/blocked, I fail see how. What exactly function capacitor? What prevent, how?",motor protection
271,Spatial tracking two UAVs,"I two Unmanned Aerial Vehicles (planes) work well. They fly various waypoints automatically using GPS. Now I would like fly together formation. I would like fly side-by-side fairly close. This close reliably use GPS guarantee keep correct relative positions safely, I looking another way. Somehow UAVs need able measure position orientation space relative one. How I this? Is kind sensor this? It would need following properties: 6 axes (position orientation) Range 0m - 5m, (from plane centres, planes won't actually ever touch wingtips) Works day night weather conditions Light weight (This 1.5m wingspan RC planes, max extra weight 100g) Probably need 50Hz - 100Hz refresh rate, might get away less, using IMU fill gaps",sensors uav multi-agent
